X,F1,F2,F3,F4,F5,F6
1,2,1,0,2,1,0
2,0,2,2,3,2,1
3,1,3,4,2,3,2
4,7,5,4,3,5,3
5,2,5,4,4,2,3
6,3,8,4,3,7,5
7,6,5,5,6,5,3
8,7,6,3,8,1,7
9,8,9,2,4,4,8
10,8,7,6,4,5,9
11,9,10,3,10,9,9
12,11,4,5,8,9,7
13,10,4,12,6,11,8
14,8,7,11,6,8,11
15,8,11,9,8,7,14
16,13,6,10,9,13,7
17,9,11,12,14,11,8
18,11,10,9,12,7,8
19,9,14,11,11,15,10
20,9,17,12,12,14,8
21,11,21,11,12,9,13
22,8,13,14,10,11,13
23,10,15,8,15,13,12
24,13,13,10,16,14,15
25,15,14,11,14,18,13
26,18,13,15,14,15,14
27,14,13,15,16,16,11
28,14,19,15,23,17,14
29,13,14,14,15,18,14
30,20,14,12,13,15,11
31,15,15,18,16,18,19
32,11,17,14,15,14,17
33,14,20,11,12,15,16
34,15,22,11,19,15,16
35,16,11,15,13,15,15
36,16,12,14,16,14,16
37,20,16,16,16,20,15
38,14,18,16,16,18,16
39,14,14,16,15,18,20
40,15,20,16,18,20,16
41,18,18,17,14,17,15
42,15,22,14,21,17,20
43,24,17,23,18,22,16
44,16,19,19,19,21,17
45,20,17,22,17,24,15
46,18,22,17,15,19,23
47,21,14,17,23,13,21
48,19,18,22,23,20,17
49,17,15,21,22,15,17
50,15,17,17,20,20,23
51,24,23,20,18,21,20
52,16,21,22,18,22,16
53,21,17,19,17,16,18
54,20,18,19,24,21,15
55,15,20,22,22,21,15
56,21,24,21,25,22,20
57,22,22,10,17,18,16
58,23,21,21,22,22,23
59,16,19,20,19,23,16
60,21,18,22,21,21,24
61,25,22,20,23,21,19
62,25,22,27,16,26,18
63,20,19,21,23,19,20
64,23,18,25,24,21,23
65,23,20,22,19,18,15
66,18,19,19,16,19,19
67,14,22,18,17,22,22
68,18,23,24,24,19,25
69,21,23,24,22,23,25
70,26,20,23,18,26,22
71,28,23,24,17,21,23
72,17,23,20,23,20,25
73,21,29,21,24,24,27
74,23,17,23,26,21,22
75,22,23,20,27,20,20
76,21,20,22,21,23,28
77,20,14,23,22,21,21
78,22,25,26,29,24,23
79,21,22,22,19,23,18
80,22,23,21,27,23,23
81,24,23,27,22,25,18
82,22,23,26,19,22,21
83,27,20,25,25,21,20
84,21,26,24,20,19,22
85,25,21,21,17,21,22
86,22,24,18,20,22,21
87,22,24,27,18,23,26
88,21,23,22,28,21,20
89,24,22,26,22,23,23
90,24,26,21,20,26,27
91,23,22,20,23,25,15
92,23,25,24,21,25,25
93,19,21,23,25,20,24
94,18,29,27,25,20,25
95,26,23,28,22,25,24
96,19,18,22,24,27,24
97,27,26,25,20,26,23
98,26,29,26,22,25,30
99,27,21,23,21,23,19
100,25,22,22,19,23,25
